filter,tijdstip,stand,handpeiling
B30D0179/001 , 2013-04-12 12:25:00+00:00 , nan , -1.31
B30D0179/001 , 2013-09-12 06:15:00+00:00 , nan , -1.57
B30D0179/001 , 2014-01-24 08:00:00+00:00 , -1.01340453256 , -1.07
B30D0179/001 , 2014-05-30 09:25:00+00:00 , -1.45546820199 , -1.51
B30D0179/001 , 2014-09-25 13:45:00+00:00 , -1.41357757807 , -1.47
B30D0179/001 , 2015-03-18 06:50:00+00:00 , -1.14555129012 , -1.19
B30D0180/001 , 2013-04-12 12:35:00+00:00 , nan , -1.35
B30D0180/001 , 2013-09-12 06:25:00+00:00 , nan , -1.57
B30D0180/001 , 2014-01-24 08:15:00+00:00 , -1.16092921292 , -1.13
B30D0180/001 , 2014-05-30 10:10:00+00:00 , -1.50989967688 , -1.51
B30D0180/001 , 2014-09-25 13:55:00+00:00 , -1.49089971832 , -1.47
B30D0180/001 , 2015-03-18 07:00:00+00:00 , -1.23810950014 , -1.24
B30D0184/001 , 2013-04-12 12:10:00+00:00 , nan , -1.71
B30D0184/001 , 2013-09-12 06:00:00+00:00 , nan , -1.99
B30D0184/001 , 2014-01-24 07:45:00+00:00 , -1.4446298522 , -1.47
B30D0184/001 , 2014-05-30 08:25:00+00:00 , -1.88652027354 , -1.9
B30D0184/001 , 2014-09-25 13:30:00+00:00 , -1.83782264199 , -1.87
B30D0184/001 , 2015-03-18 06:35:00+00:00 , -1.50147129012 , -1.56
B30D0187/001 , 2013-04-12 11:50:00+00:00 , nan , -1.53
B30D0187/001 , 2013-09-12 05:50:00+00:00 , nan , -1.84
B30D0187/001 , 2014-01-24 17:30:00+00:00 , -1.37834877906 , -1.42
B30D0187/001 , 2014-05-30 08:20:00+00:00 , -1.85901698282 , -1.82
B30D0187/001 , 2014-09-25 13:25:00+00:00 , -1.8094876633 , -1.78
B30D0187/001 , 2015-03-18 06:25:00+00:00 , -1.47072129012 , -1.46
B30D0193/001 , 2013-04-16 12:00:00+00:00 , nan , -1.14
B30D0193/001 , 2013-09-12 06:50:00+00:00 , nan , -1.3
B30D0193/001 , 2014-01-24 08:25:00+00:00 , -0.922778999828 , -0.93
B30D0193/001 , 2014-05-30 08:40:00+00:00 , -1.23336347901 , -1.24
B30D0193/001 , 2014-09-25 14:05:00+00:00 , -1.22641420211 , -1.22
B30D0193/001 , 2015-03-18 07:10:00+00:00 , -1.02352950014 , -1.03
B30D1780/001 , 2013-04-16 12:17:00+00:00 , nan , -0.45
B30D1780/001 , 2013-09-12 07:05:00+00:00 , nan , -0.55
B30D1780/001 , 2014-01-24 08:45:00+00:00 , -0.260478573643 , -0.26
B30D1780/001 , 2014-05-30 08:55:00+00:00 , -0.609956684492 , -0.55
B30D1780/001 , 2014-09-25 14:20:00+00:00 , -0.531659266042 , -0.47
B30D1780/001 , 2015-03-18 07:30:00+00:00 , -0.52831276985 , -0.39
B30G0010/001 , 2013-04-16 13:50:00+00:00 , nan , -2.27
B30G0010/001 , 2013-09-12 08:55:00+00:00 , nan , -2.37
B30G0010/001 , 2014-01-24 09:40:00+00:00 , -2.04718308353 , -2.07
B30G0010/001 , 2014-05-30 11:00:00+00:00 , -2.28004330854 , -2.3
B30G0010/001 , 2014-09-25 15:05:00+00:00 , -7.2198571945 , -2.32
B30G0010/001 , 2015-03-18 08:45:00+00:00 , -7.00508975585 , -2.09
B30G0017/001 , 2013-04-17 07:20:00+00:00 , nan , -2.63
B30G0017/001 , 2013-09-12 10:50:00+00:00 , nan , -2.66
B30G0017/001 , 2014-01-24 10:40:00+00:00 , -2.40583000591 , -2.44
B30G0017/001 , 2014-05-30 12:00:00+00:00 , -2.53008279712 , -2.56
B30G0017/001 , 2014-10-07 05:45:00+00:00 , -2.56188830945 , -2.61
B30G0017/001 , 2015-03-18 10:05:00+00:00 , -2.40424771016 , -2.45
B30G0021/001 , 2013-04-17 05:50:00+00:00 , nan , -2.86
B30G0021/001 , 2013-09-12 10:05:00+00:00 , nan , -2.89
B30G0021/001 , 2014-01-24 10:15:00+00:00 , -2.62577299829 , -2.64
B30G0021/001 , 2014-05-30 11:35:00+00:00 , -2.78636512437 , -2.81
B30G0021/001 , 2014-10-07 05:05:00+00:00 , -2.77986643423 , -2.83
B30G0021/001 , 2015-03-18 09:35:00+00:00 , -3.24424771016 , -2.63
B30G0119/001 , 2013-04-16 13:33:00+00:00 , nan , -2.09
B30G0119/001 , 2013-09-12 08:45:00+00:00 , nan , -2.19
B30G0119/001 , 2014-01-24 09:30:00+00:00 , -1.86498350972 , -1.88
B30G0119/001 , 2014-05-30 10:50:00+00:00 , -2.1117527545 , -2.12
B30G0119/001 , 2014-09-25 15:00:00+00:00 , -2.09929302556 , -2.13
B30G0119/001 , 2015-03-18 08:30:00+00:00 , -1.86714898872 , -1.92
B30G0276/001 , 2013-04-17 10:45:00+00:00 , nan , -1.62
B30G0276/001 , 2013-09-12 12:35:00+00:00 , nan , -1.44
B30G0276/001 , 2014-01-24 12:45:00+00:00 , -1.32502793437 , -1.34
B30G0276/001 , 2014-05-30 13:45:00+00:00 , -1.36127850032 , -1.37
B30G0276/001 , 2014-10-07 07:30:00+00:00 , -1.6275938848 , -1.66
B30G0276/001 , 2015-03-17 14:50:00+00:00 , -16.4031410071 , -1.41
B30G0279/001 , 2013-04-17 10:05:00+00:00 , nan , -0.68
B30G0279/001 , 2013-09-12 12:15:00+00:00 , nan , -0.51
B30G0279/001 , 2014-01-24 12:00:00+00:00 , -0.775542742582 , -0.38
B30G0279/001 , 2014-05-30 13:30:00+00:00 , -0.489533436395 , -0.52
B30G0279/001 , 2014-10-07 06:50:00+00:00 , -0.77654781479 , -0.79
B30G0279/001 , 2015-03-17 14:30:00+00:00 , -0.44180100714 , -0.46
B30G0377/001 , 2013-04-17 05:25:00+00:00 , nan , -3.12
B30G0377/001 , 2013-09-12 09:55:00+00:00 , nan , -3.2
B30G0377/001 , 2014-01-24 10:05:00+00:00 , -2.88277299829 , -2.89
B30G0377/001 , 2014-05-30 11:30:00+00:00 , -3.1075334364 , -3.13
B30G0377/001 , 2014-10-07 04:55:00+00:00 , -3.05838617852 , -3.1
B30G0377/001 , 2015-03-18 09:20:00+00:00 , -2.83424771016 , -2.86
B30G0578/001 , 2013-04-17 08:00:00+00:00 , nan , -2.17
B30G0578/001 , 2013-09-12 11:00:00+00:00 , nan , -2.19
B30G0578/001 , 2014-01-24 10:50:00+00:00 , -1.92899996329 , -1.96
B30G0578/001 , 2014-05-30 12:10:00+00:00 , -2.07074288235 , -2.1
B30G0578/001 , 2014-10-07 05:55:00+00:00 , -2.10462185587 , -2.16
B30G0578/001 , 2015-03-18 11:15:00+00:00 , -1.96130694303 , -1.99
B30G0579/001 , 2013-04-16 12:46:00+00:00 , nan , -1.67
