Code;Type;Datum;Hoogte (cm);TOV;GWS;X;Y;Sleuflengte;Sleufbreedte;Boormeester;Opmerking;aangemaakt;Gewijzigd
G-PB01;peilbuis met 1 filter;08-04-14;;maaiveld;0.62;427280.872;127956.513;;;D de Vries;Diver 130, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB02;peilbuis met 1 filter;08-04-14;;maaiveld;1.95;427277.32;127385.199;;;D de Vries;Diver 230, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB03;peilbuis met 1 filter;08-04-14;;maaiveld;0.88;427862.678;127710.111;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB05;peilbuis met 1 filter;08-04-14;;maaiveld;0.75;427993.303;127079.179;;;D de Vries;Diver 250, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB06;peilbuis met 1 filter;08-04-14;;maaiveld;0.68;427890.168;126391.057;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB07;peilbuis met 1 filter;08-04-14;;maaiveld;0.56;427801.627;126033.88;;;D de Vries;Diver 140, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB08;peilbuis met 1 filter;08-04-14;;maaiveld;1.16;428302.265;126072.115;;;D de Vries;Diver 200, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB09;peilbuis met 1 filter;10-04-14;;maaiveld;0.91;428335.339;125812.838;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB10;peilbuis met 1 filter;10-04-14;;maaiveld;0.84;428214.383;125511.812;;;D de Vries;Diver 200, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB11;peilbuis met 1 filter;10-04-14;;maaiveld;0.85;427515.112;125654.509;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB04;peilbuis met 1 filter;08-04-14;;maaiveld;0.63;426898.282;126423.974;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB12;peilbuis met 1 filter;08-04-14;;maaiveld;1.36;427645.833;125084.785;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB13;peilbuis met 1 filter;08-04-14;;maaiveld;0.87;426559.976;128892.216;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB14;peilbuis met 1 filter;08-04-14;;maaiveld;0.29;428594.074;126562.242;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
G-PB15;peilbuis met 1 filter;11-04-14;;maaiveld;1.15;429103.896;127600.634;;;D de Vries;Diver 220, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB01;peilbuis met 1 filter;08-04-14;;maaiveld;0.85;433522.163;106965.861;;;D de Vries;Diver 170, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB02;peilbuis met 1 filter;08-04-14;;maaiveld;0.48;433673.845;106730.891;;;D de Vries;Diver 190, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB03;peilbuis met 1 filter;08-04-14;;maaiveld;0.71;433145.009;105733.405;;;D de Vries;Diver 150, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB04;peilbuis met 1 filter;14-04-14;;maaiveld;0.77;433287.122;105175.167;;;D de Vries;Diver 220, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB07;peilbuis met 1 filter;14-04-14;;maaiveld;0.92;433488.911;103028.323;;;D de Vries;Diver 180, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB08;peilbuis met 1 filter;14-04-14;;maaiveld;0.52;434657.864;110558.438;;;D de Vries;Diver 150, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB09;peilbuis met 1 filter;14-04-14;;maaiveld;0.46;437357.504;115937.413;;;D de Vries;Diver 150, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB10;peilbuis met 1 filter;14-04-14;;maaiveld;0.38;437413.648;116392.173;;;D de Vries;Diver 210, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB11;peilbuis met 1 filter;14-04-14;;maaiveld;0.41;438532.292;119432.073;;;D de Vries;Diver 190, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB12;peilbuis met 1 filter;14-04-14;;maaiveld;0.40;438310.166;119925.817;;;D de Vries;Diver 120, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB13;peilbuis met 1 filter;14-04-14;;maaiveld;0.25;438002.987;119684.63;;;D de Vries;Diver 130, 1 foto;26-05-14 10:25:27;26-05-14 10:25:54
MW-PB16;peilbuis met 1 filter;29-04-14;;maaiveld;0.31;430043.446;107869.416;;;D de Vries;Diver 150, 1 foto;26-05-14 10:25:28;26-05-14 10:25:54
MW-PB15;peilbuis met 1 filter;14-04-14;;maaiveld;0.25;428600.948;111921.504;;;D de Vries;Diver 120, 1 foto;26-05-14 10:25:28;26-05-14 10:25:54
MW-PB06;peilbuis met 1 filter;29-04-14;;maaiveld;0.76;431721.145;113242.605;;;D de Vries;Diver 140, 1 foto;26-05-14 10:25:28;26-05-14 10:25:54
MW-PB14;peilbuis met 1 filter;29-04-14;;maaiveld;0.56;432335.582;116004.447;;;D de Vries;Diver 150, 1 foto;26-05-14 10:25:28;26-05-14 10:25:54
MW-PB05;peilbuis met 1 filter;14-04-14;;maaiveld;0.65;435142.546;120998.697;;;D de Vries;Diver 160, 1 foto;26-05-14 10:25:28;26-05-14 10:25:54
