Code,Type,Datum,X,Y,Z (MV),Z (PB),PB-mv,Boormeester,Opmerking,Naam,Van,Tot,Datum,Materiaal,Doorloop,Werkwater,Ec,Hoogte buis,Lengte,Diameter,Opmerking,Grind,Bentoniet,GWS,Diver,Type,Diver (cm-pb),Diver (cm-mv),aangemaakt,Gewijzigd
MW-PB05,peilbuis met 1 filter,4/14/2014,435142.546,120998.697,-1.068,-1.137,0.07,D de Vries, 1 foto,Filter,0.9,1.9,4/29/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.90,0.20 - 0.40,0.65,R1785,TD,160,166.90,5/26/2014 10:25,5/26/2014 10:25
G-PB01,peilbuis met 1 filter,4/8/2014,427280.872,127956.513,0.330,0.275,0.06,D de Vries, 1 foto,Filter,0.6,1.6,4/15/2014,PVC,matig,,,-0.1,,32,,0.30 - 1.60,0.20 - 0.30,0.62,R1786,TD,130,135.50,5/26/2014 10:25,5/26/2014 10:25
MW-PB03,peilbuis met 1 filter,4/8/2014,433145.009,105733.405,-1.151,-1.299,0.15,D de Vries, 1 foto,Filter,0.8,1.8,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.80,0.20 - 0.40,0.71,R1825,TD,150,164.80,5/26/2014 10:25,5/26/2014 10:25
G-PB05,peilbuis met 1 filter,4/8/2014,427993.303,127079.179,0.629,0.504,0.13,D de Vries, 1 foto,Filter,1.8,2.8,4/15/2014,PVC,matig,,,-0.1,,32,,1.00 - 2.80,0.80 - 1.00,0.75,S2266,TD,250,262.50,5/26/2014 10:25,5/26/2014 10:25
G-PB11,peilbuis met 1 filter,4/10/2014,427515.112,125654.509,-0.069,-0.201,0.13,D de Vries, 1 foto,Filter,1.1,2.1,4/24/2014,PVC,matig,,,-0.1,,32,,1.00 - 2.10,0.80 - 1.00,0.85,S2674,TD,170,183.20,5/26/2014 10:25,5/26/2014 10:25
G-PB02,peilbuis met 1 filter,4/8/2014,427277.32,127385.199,2.095,2.048,0.05,D de Vries, 1 foto,Filter,1.5,2.5,4/15/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.50,0.20 - 0.40,1.95,S2675,TD,230,234.70,5/26/2014 10:25,5/26/2014 10:25
G-PB03,peilbuis met 1 filter,4/8/2014,427862.678,127710.111,0.251,0.141,0.11,D de Vries, 1 foto,Filter,1,2,4/15/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.00,0.20 - 0.40,0.88,S2679,TD,170,181.00,5/26/2014 10:25,5/26/2014 10:25
MW-PB12,peilbuis met 1 filter,4/14/2014,438310.166,119925.817,-0.710,-0.814,0.10,D de Vries, 1 foto,Filter,0.5,1.5,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.50,0.20 - 0.40,0.4,S2680,TD,120,130.40,5/26/2014 10:25,5/26/2014 10:25
G-PB04,peilbuis met 1 filter,4/8/2014,426898.282,126423.974,1.910,7.203,-5.29,D de Vries, 1 foto,Filter,1,2,4/15/2014,PVC,matig,,,-0.1,,32,,0.40 - 2.00,0.20 - 0.40,0.63,S2682,TD,170,-359.30,5/26/2014 10:25,5/26/2014 10:25
MW-PB15,peilbuis met 1 filter,4/14/2014,428600.948,111921.504,-1.478,-1.559,0.08,D de Vries, 1 foto,Filter,0.5,1.5,4/24/2014,PVC,matig,,,-0.1,,32,,0.40 - 1.50,0.20 - 0.40,0.25,S2684,TD,120,128.10,5/26/2014 10:25,5/26/2014 10:25
